image_path,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,recommended_types,recommended_filenames,includes_same_actual_type,structural_validity_score,style_consistency_score,visual_coherence_score,confidence_warning_usefulness_score,overall_quality_score,manual_notes
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty,shoes,streetwear,shoes,0.599713564,0.732985914,style_uncertain,"jacket, pants, tshirt","streetwear_pants_044.png, streetwear_tshirt_021.png, streetwear_jacket_042.png",False,2,0,0,2,0,"Type is correct and structure is valid, but style is predicted as streetwear instead of sporty. Recommendations do not match the sporty running shoes. The style warning is useful."
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty,shoes,streetwear,shoes,0.399789184,0.942146242,style_uncertain,"jacket, pants, tshirt","streetwear_pants_047.png, streetwear_jacket_039.png, streetwear_tshirt_034.png",False,2,0,0,2,0,"Type is correct and structure is valid, but style is predicted as streetwear instead of sporty. The recommendations are not visually coherent with the sporty running shoes. The style warning is useful."
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty,tshirt,sporty,tshirt,0.487991154,0.904229224,style_uncertain,"jacket, pants, shoes","sporty_pants_038.png, sporty_jacket_030.png, sporty_shoes_010.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent for a sporty outfit. The style warning is cautious even though the recommendation is good.
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty,tshirt,sporty,tshirt,0.608464122,0.931318045,reliable,"jacket, pants, shoes","sporty_pants_038.png, sporty_jacket_029.png, sporty_shoes_020.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and visually coherent for a sporty outfit.
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear,jacket,streetwear,jacket,0.938296676,0.641579986,reliable,"pants, shoes, tshirt","streetwear_tshirt_004.png, streetwear_pants_035.png, streetwear_shoes_048.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and visually coherent for a streetwear outfit.
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear,jacket,streetwear,jacket,0.635520518,0.516929269,type_uncertain,"pants, shoes, tshirt","streetwear_pants_035.png, streetwear_shoes_048.png, streetwear_tshirt_045.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent. The type warning is cautious even though the recommendation is good.
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear,pants,streetwear,pants,0.926923037,0.522427857,type_uncertain,"jacket, shoes, tshirt","streetwear_jacket_044.png, streetwear_tshirt_010.png, streetwear_shoes_028.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and match the streetwear style. The type warning is cautious even though the prediction is correct.
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear,pants,streetwear,jacket,0.593891144,0.870867193,style_uncertain,"pants, shoes, tshirt","streetwear_pants_002.png, streetwear_tshirt_007.png, streetwear_shoes_019.png",True,0,2,1,0,1,"Style is correct, but type is predicted as jacket instead of pants. The recommender includes pants for a pants input, so the structure fails. The warning does not reflect the type-related issue."
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_001.png,streetwear,shoes,formal,shoes,0.418095469,0.84009105,style_uncertain,"jacket, pants, tshirt","formal_jacket_018.png, formal_tshirt_050.png, formal_pants_036.png",False,2,0,0,2,0,"Type is correct and structure is valid, but style is predicted as formal instead of streetwear. Recommendations do not match the streetwear shoes. The style warning is useful."
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear,shoes,streetwear,shoes,0.552318096,0.898565054,style_uncertain,"jacket, pants, tshirt","streetwear_pants_018.png, streetwear_jacket_037.png, streetwear_tshirt_001.png",False,2,2,2,1,2,Correct style and type. Recommendations are structurally valid and visually coherent for a streetwear outfit. The style warning is cautious even though the recommendation is good.
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_001.png,streetwear,tshirt,streetwear,tshirt,0.68492949,0.803412676,reliable,"jacket, pants, shoes","streetwear_jacket_033.png, streetwear_pants_028.png, streetwear_shoes_019.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and visually coherent for a streetwear outfit.
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_002.png,streetwear,tshirt,streetwear,tshirt,0.942846894,0.996468186,reliable,"jacket, pants, shoes","streetwear_jacket_033.png, streetwear_pants_037.png, streetwear_shoes_033.png",False,2,2,2,2,2,Correct style and type. Recommendations are structurally valid and visually coherent for a streetwear outfit.
